name1,name2,sharedTitles
Orson Welles,Arnoldo Foà,1
Orson Welles,Beatrice Welles,1
Orson Welles,Gian Paolo Callegari,1
Orson Welles,José Manuel de la Chica,1
Orson Welles,Paola Mori,1
Orson Welles,Ricardo Navarrete,1
Russell Crowe,Alain Boublil,1
Russell Crowe,Anne Hathaway,1
Russell Crowe,Tom Hooper,1
Russell Crowe,Victor Hugo,1
