name1,name2,sharedTitles
Deborah Aquila,Tricia Wood,63
Janet Hirshenson,Jane Jenkins,55
Tim Bevan,Eric Fellner,52
Mary Vernieu,Lindsay Graham,46
Amanda Mackey,Cathy Sandrich Gelfond,45
George R.R. Martin,Ramin Djawadi,40
Nina Gold,Robert Sterne,37
Kevin Feige,Sarah Finn,36
David Benioff,D.B. Weiss,34
Nina Gold,George R.R. Martin,32
