name,genreCount
Kirsten Dunst,19
Christian Bale,18
Harrison Ford,18
Amanda Seyfried,17
Colin Farrell,17
Ewan McGregor,17
Jake Gyllenhaal,17
Jeff Bridges,17
John C. Reilly,17
John Goodman,17
Matt Damon,17
Matthew McConaughey,17
Michael Caine,17
Nicole Kidman,17
Samuel L. Jackson,17
Tim Robbins,17
Tom Hanks,17
Alec Baldwin,16
Anthony Hopkins,16
Brad Pitt,16
Cary Elwes,16
Cate Blanchett,16
Catherine Keener,16
Christopher Walken,16
David Thewlis,16
Domhnall Gleeson,16
Forest Whitaker,16
James McAvoy,16
Jamie Foxx,16
Jeff Daniels,16
Joaquin Phoenix,16
John Malkovich,16
Johnny Depp,16
Kevin Costner,16
Kurt Russell,16
Meryl Streep,16
Morgan Freeman,16
Nicolas Cage,16
Patrick Wilson,16
Ralph Fiennes,16
Robert De Niro,16
Robert Downey Jr.,16
Scarlett Johansson,16
Tom Cruise,16
Tom Hardy,16
Alison Pill,15
Anne Hathaway,15
Ben Kingsley,15
Bill Murray,15
Bill Nighy,15
Bill Pullman,15
Channing Tatum,15
Charlize Theron,15
Chris Hemsworth,15
Christopher McDonald,15
Ciarán Hinds,15
Clancy Brown,15
David Strathairn,15
Demi Moore,15
Drew Barrymore,15
Ed Harris,15
Geoffrey Rush,15
George Clooney,15
Helen Mirren,15
Helena Bonham Carter,15
Jeremy Irons,15
Jim Broadbent,15
John Lithgow,15
Joseph Gordon-Levitt,15
Josh Brolin,15
Josh Hutcherson,15
Jude Law,15
Liam Neeson,15
Mark Ruffalo,15
Michael Fassbender,15
Michael Gambon,15
Michelle Williams,15
Octavia Spencer,15
Paul Bettany,15
Rachel Weisz,15
Rebecca Ferguson,15
Russell Crowe,15
Ryan Reynolds,15
Stanley Tucci,15
Stellan Skarsgård,15
Steve Buscemi,15
Terence Stamp,15
Thomas Kretschmann,15
Tony Goldwyn,15
Will Smith,15
Willem Dafoe,15
Adam Sandler,14
Adrien Brody,14
Alan Arkin,14
Amy Adams,14
Anna Paquin,14
Anthony Mackie,14
Antonio Banderas,14
Benedict Cumberbatch,14
Bradley Whitford,14
Bruce Willis,14
Bryan Cranston,14
Carla Gugino,14
Carmen Ejogo,14
Chris Cooper,14
Chris Pine,14
Christoph Waltz,14
Christopher Plummer,14
Cillian Murphy,14
Cliff Curtis,14
Colin Firth,14
Colm Feore,14
Corey Stoll,14
Craig T. Nelson,14
Crispin Glover,14
Daniel Brühl,14
David Morse,14
Dennis Quaid,14
Dominic Cooper,14
Dominic West,14
Dustin Hoffman,14
Dwayne Johnson,14
Elizabeth Banks,14
Embeth Davidtz,14
Emily Blunt,14
Eric Bana,14
Gary Oldman,14
