localName,nconst,wikidataItem,wikidataLabel,birthDate
Alain Boublil,nm0098842,http://www.wikidata.org/entity/Q284540,Alain Boublil,1941-03-05T00:00:00Z
Amanda Seyfried,nm1086543,http://www.wikidata.org/entity/Q189226,Amanda Seyfried,1985-12-03T00:00:00Z
Hugh Jackman,nm0413168,http://www.wikidata.org/entity/Q129591,,1968-10-12T00:00:00Z
